exercise_id,exercise_name,category,fitness_level,impact_level,calories_per_min,duration_min,reps,sets,yt_url,rest_time_sec,voice_cue_text,estimated_calories_burned
EX001_LevelI,Squats,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Squats%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX001_LevelII,Squats,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Squats%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX001_LevelIII,Squats,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Squats%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX002_LevelI,Wall Sit,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Wall%20Sit%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX002_LevelII,Wall Sit,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Wall%20Sit%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX002_LevelIII,Wall Sit,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Wall%20Sit%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX003_LevelI,Jump Squats,Cardio,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Jump%20Squats%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX003_LevelII,Jump Squats,Cardio,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Jump%20Squats%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX003_LevelIII,Jump Squats,Cardio,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Jump%20Squats%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX004_LevelI,Reverse Lunges,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Reverse%20Lunges%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX004_LevelII,Reverse Lunges,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Reverse%20Lunges%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX004_LevelIII,Reverse Lunges,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Reverse%20Lunges%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX005_LevelI,Split Lunges,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Split%20Lunges%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX005_LevelII,Split Lunges,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Split%20Lunges%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX005_LevelIII,Split Lunges,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Split%20Lunges%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX006_LevelI,Glute Bridges,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Glute%20Bridges%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX006_LevelII,Glute Bridges,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Glute%20Bridges%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX006_LevelIII,Glute Bridges,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Glute%20Bridges%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX007_LevelI,Single Leg Glute Bridges,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Single%20Leg%20Glute%20Bridges%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX007_LevelII,Single Leg Glute Bridges,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Single%20Leg%20Glute%20Bridges%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX007_LevelIII,Single Leg Glute Bridges,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Single%20Leg%20Glute%20Bridges%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX008_LevelI,Calf Raises,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Calf%20Raises%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX008_LevelII,Calf Raises,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Calf%20Raises%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX008_LevelIII,Calf Raises,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Calf%20Raises%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX009_LevelI,Side Leg Raises,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Side%20Leg%20Raises%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX009_LevelII,Side Leg Raises,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Side%20Leg%20Raises%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX009_LevelIII,Side Leg Raises,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Side%20Leg%20Raises%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX010_LevelI,High Knees,Cardio,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=High%20Knees%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX010_LevelII,High Knees,Cardio,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=High%20Knees%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX010_LevelIII,High Knees,Cardio,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=High%20Knees%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX011_LevelI,Butt Kicks,Cardio,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Butt%20Kicks%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX011_LevelII,Butt Kicks,Cardio,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Butt%20Kicks%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX011_LevelIII,Butt Kicks,Cardio,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Butt%20Kicks%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX012_LevelI,Marching in Place,Cardio,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Marching%20in%20Place%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX012_LevelII,Marching in Place,Cardio,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Marching%20in%20Place%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX012_LevelIII,Marching in Place,Cardio,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Marching%20in%20Place%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX013_LevelI,Step Touch,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Step%20Touch%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX013_LevelII,Step Touch,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Step%20Touch%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX013_LevelIII,Step Touch,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Step%20Touch%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX014_LevelI,Push-Ups,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Push-Ups%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX014_LevelII,Push-Ups,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Push-Ups%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX014_LevelIII,Push-Ups,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Push-Ups%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX015_LevelI,Knee Push-Ups,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Knee%20Push-Ups%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX015_LevelII,Knee Push-Ups,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Knee%20Push-Ups%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX015_LevelIII,Knee Push-Ups,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Knee%20Push-Ups%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX016_LevelI,Close Grip Push-Ups,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Close%20Grip%20Push-Ups%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX016_LevelII,Close Grip Push-Ups,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Close%20Grip%20Push-Ups%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX016_LevelIII,Close Grip Push-Ups,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Close%20Grip%20Push-Ups%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX017_LevelI,Plank,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Plank%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX017_LevelII,Plank,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Plank%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX017_LevelIII,Plank,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Plank%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX018_LevelI,Up and Down Plank,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Up%20and%20Down%20Plank%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX018_LevelII,Up and Down Plank,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Up%20and%20Down%20Plank%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX018_LevelIII,Up and Down Plank,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Up%20and%20Down%20Plank%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX019_LevelI,Side Plank,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Side%20Plank%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX019_LevelII,Side Plank,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Side%20Plank%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX019_LevelIII,Side Plank,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Side%20Plank%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX020_LevelI,Elbow Plank,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Elbow%20Plank%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX020_LevelII,Elbow Plank,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Elbow%20Plank%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX020_LevelIII,Elbow Plank,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Elbow%20Plank%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX021_LevelI,Mountain Climbers,Cardio,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Mountain%20Climbers%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX021_LevelII,Mountain Climbers,Cardio,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Mountain%20Climbers%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX021_LevelIII,Mountain Climbers,Cardio,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Mountain%20Climbers%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX022_LevelI,Slow Climbers,Cardio,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Slow%20Climbers%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX022_LevelII,Slow Climbers,Cardio,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Slow%20Climbers%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX022_LevelIII,Slow Climbers,Cardio,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Slow%20Climbers%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX023_LevelI,Crunches,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Crunches%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX023_LevelII,Crunches,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Crunches%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX023_LevelIII,Crunches,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Crunches%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX024_LevelI,Sit-Ups,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Sit-Ups%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX024_LevelII,Sit-Ups,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Sit-Ups%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX024_LevelIII,Sit-Ups,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Sit-Ups%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
