exercise_id,exercise_name,category,fitness_level,impact_level,calories_per_min,duration_min,reps,sets,yt_url,rest_time_sec,voice_cue_text,estimated_calories_burned
EX025_LevelI,Crunch Kicks,Cardio,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Crunch%20Kicks%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX025_LevelII,Crunch Kicks,Cardio,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Crunch%20Kicks%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX025_LevelIII,Crunch Kicks,Cardio,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Crunch%20Kicks%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX026_LevelI,Flutter Kicks,Cardio,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Flutter%20Kicks%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX026_LevelII,Flutter Kicks,Cardio,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Flutter%20Kicks%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX026_LevelIII,Flutter Kicks,Cardio,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Flutter%20Kicks%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX027_LevelI,Leg Raises,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Leg%20Raises%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX027_LevelII,Leg Raises,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Leg%20Raises%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX027_LevelIII,Leg Raises,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Leg%20Raises%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX028_LevelI,Bicycle Crunches,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Bicycle%20Crunches%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX028_LevelII,Bicycle Crunches,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Bicycle%20Crunches%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX028_LevelIII,Bicycle Crunches,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Bicycle%20Crunches%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX029_LevelI,Roll-Ups,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Roll-Ups%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX029_LevelII,Roll-Ups,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Roll-Ups%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX029_LevelIII,Roll-Ups,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Roll-Ups%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX030_LevelI,Back Extensions,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Back%20Extensions%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX030_LevelII,Back Extensions,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Back%20Extensions%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX030_LevelIII,Back Extensions,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Back%20Extensions%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX031_LevelI,Punches,Cardio,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Punches%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX031_LevelII,Punches,Cardio,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Punches%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX031_LevelIII,Punches,Cardio,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Punches%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX032_LevelI,Jab Cross Punches,Cardio,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Jab%20Cross%20Punches%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX032_LevelII,Jab Cross Punches,Cardio,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Jab%20Cross%20Punches%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX032_LevelIII,Jab Cross Punches,Cardio,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Jab%20Cross%20Punches%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX033_LevelI,Overhead Punches,Cardio,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Overhead%20Punches%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX033_LevelII,Overhead Punches,Cardio,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Overhead%20Punches%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX033_LevelIII,Overhead Punches,Cardio,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Overhead%20Punches%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX034_LevelI,Front Kicks,Cardio,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Front%20Kicks%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX034_LevelII,Front Kicks,Cardio,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Front%20Kicks%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX034_LevelIII,Front Kicks,Cardio,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Front%20Kicks%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX035_LevelI,Side Kicks,Cardio,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Side%20Kicks%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX035_LevelII,Side Kicks,Cardio,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Side%20Kicks%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX035_LevelIII,Side Kicks,Cardio,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Side%20Kicks%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX036_LevelI,Hook Kicks,Cardio,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Hook%20Kicks%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX036_LevelII,Hook Kicks,Cardio,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Hook%20Kicks%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX036_LevelIII,Hook Kicks,Cardio,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Hook%20Kicks%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX037_LevelI,Knee Strikes,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Knee%20Strikes%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX037_LevelII,Knee Strikes,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Knee%20Strikes%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX037_LevelIII,Knee Strikes,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Knee%20Strikes%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX038_LevelI,Shadow Boxing,Cardio,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Shadow%20Boxing%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX038_LevelII,Shadow Boxing,Cardio,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Shadow%20Boxing%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX038_LevelIII,Shadow Boxing,Cardio,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Shadow%20Boxing%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX039_LevelI,Punch + Squat Combo,Cardio,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Punch%20%2B%20Squat%20Combo%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX039_LevelII,Punch + Squat Combo,Cardio,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Punch%20%2B%20Squat%20Combo%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX039_LevelIII,Punch + Squat Combo,Cardio,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Punch%20%2B%20Squat%20Combo%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX040_LevelI,Surya Namaskar,Yoga,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Surya%20Namaskar%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX040_LevelII,Surya Namaskar,Yoga,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Surya%20Namaskar%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX040_LevelIII,Surya Namaskar,Yoga,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Surya%20Namaskar%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX041_LevelI,Downward Dog,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Downward%20Dog%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX041_LevelII,Downward Dog,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Downward%20Dog%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX041_LevelIII,Downward Dog,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Downward%20Dog%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX042_LevelI,Upward Dog,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Upward%20Dog%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX042_LevelII,Upward Dog,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Upward%20Dog%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX042_LevelIII,Upward Dog,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Upward%20Dog%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX043_LevelI,Cat Cow Stretch,Yoga,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Cat%20Cow%20Stretch%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX043_LevelII,Cat Cow Stretch,Yoga,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Cat%20Cow%20Stretch%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX043_LevelIII,Cat Cow Stretch,Yoga,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Cat%20Cow%20Stretch%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX044_LevelI,Child Pose,Yoga,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Child%20Pose%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX044_LevelII,Child Pose,Yoga,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Child%20Pose%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX044_LevelIII,Child Pose,Yoga,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Child%20Pose%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX045_LevelI,Cobra Stretch,Yoga,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Cobra%20Stretch%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX045_LevelII,Cobra Stretch,Yoga,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Cobra%20Stretch%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX045_LevelIII,Cobra Stretch,Yoga,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Cobra%20Stretch%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX046_LevelI,Standing Balance Hold,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Standing%20Balance%20Hold%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX046_LevelII,Standing Balance Hold,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Standing%20Balance%20Hold%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX046_LevelIII,Standing Balance Hold,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Standing%20Balance%20Hold%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
EX047_LevelI,Single Leg Squat,Strength,Beginner,Low,6,1,12,2,https://www.youtube.com/results?search_query=Single%20Leg%20Squat%20exercise%20for%20women%20home%20workout,60,"Rest for 60 seconds. Breathe deeply. 30 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",6
EX047_LevelII,Single Leg Squat,Strength,Intermediate,Medium,7.2,2,18,3,https://www.youtube.com/results?search_query=Single%20Leg%20Squat%20exercise%20for%20women%20home%20workout,45,"Rest for 45 seconds. Breathe deeply. 22 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",14.4
EX047_LevelIII,Single Leg Squat,Strength,Advanced,Medium,8.4,2.5,21,4,https://www.youtube.com/results?search_query=Single%20Leg%20Squat%20exercise%20for%20women%20home%20workout,30,"Rest for 30 seconds. Breathe deeply. 15 seconds remaining. Get ready. 5, 4, 3, 2, 1. Start.",21
WU01,Arm Circles,Warm-Up,All Levels,Low,3,1,0,1,,0,Breathe deeply and move slowly.,3
WU02,Neck Rolls,Warm-Up,All Levels,Low,3,1,0,1,,0,Breathe deeply and move slowly.,3
WU03,Marching in Place,Warm-Up,All Levels,Low,3,1,0,1,,0,Breathe deeply and move slowly.,3
WU04,Hip Circles,Warm-Up,All Levels,Low,3,1,0,1,,0,Breathe deeply and move slowly.,3
WU05,Jumping Jacks (Low Impact),Warm-Up,All Levels,Low,3,1,0,1,,0,Breathe deeply and move slowly.,3
CD01,Child Pose,Cool-Down,All Levels,Low,3,2,0,1,,0,Breathe deeply and move slowly.,6
CD02,Standing Forward Bend,Cool-Down,All Levels,Low,3,2,0,1,,0,Breathe deeply and move slowly.,6
CD03,Seated Stretch,Cool-Down,All Levels,Low,3,2,0,1,,0,Breathe deeply and move slowly.,6
CD04,Deep Breathing,Cool-Down,All Levels,Low,3,2,0,1,,0,Breathe deeply and move slowly.,6
CD05,Shoulder Stretch,Cool-Down,All Levels,Low,3,2,0,1,,0,Breathe deeply and move slowly.,6
